Address,S2 waifu_reward_tokens,S2 llama_reward_tokens,S2 Total Base Tokens
0x223759397ed62960222af946af833993220835d9,1096432.037699167,555096.1939193791,1051399.7734794375
0xd514e45723e4534aecd3050f4e3380d14796912d,175147.49578922227,200428.59917015114,18343.8719143754
0xa2306b8299d27d0fb918ad5b501dff62330aa091,248016.01524471576,1921.3991399614745,33199.3001091032
0x4d206c6253d55ba92faa73685ebc99af848c347e,82712.1902720576,105243.39245389024,187955.58272594784
0x11c237293a921302fbc3919db5ddbb1da4eab5df,44047.8904873484,122051.75378057074,166099.64426791912
0x49e75f26a6c175a84448dd9ae889d8268d62a5ba,0,161950.1178265164,161950.1178265164
0xf6bae253ba6f9f55d8df442e469cc7c9bfdb832b,145016.5374696676,0,13948.95778704312
0xa679608d3ead10fe8c13d93fd15dd9d99171136d,0,133261.35862269657,12997.3635050982
0x5b0d98912228d3b00dfd9afe84a03821a8f91882,63469.884304405095,62681.66572949261,12372.63358038867
0x33e8880d7d70d81b4ff47c29b2e4d7031b47ab93,23182.813423313582,83784.99668465178,106967.81010796536
0xfd1458a0cf4264839224a592db9eafec86ea4231,45215.27322125991,32503.27943895309,77668.74153020539
0x9452dcf6f2cec7f0012b3492d2c323195f249b1b,65471.339135949594,2599.5876655119177,68070.92680146151
0x28886d272bc6b834d066a62bd686bb3fd4470420,23438.64965449618,42631.70756264578,6606.93216264403
0x550fb77d74ab1cc9e4250b7b951ea76208fc8538,46805.58137097526,8096.012401852735,54901.593772828
0x672d6b86450bbdc59593794b1a7f0b8ee74af106,18259.069728713574,31641.052132337103,49876.150796951886
0xd7cdb08eadd3d730540817a348b62d15bf45df10,14867.172134773327,34948.77203438401,49204.95614527895
0xf6839d3b0dcefdcd4bd96c9009a4afe5d72ceb55,46964.174055642936,160.15763888000566,47096.40431760153
0x29bdf4f7bbbc75b6d8bf18b37e3bffdb98469d20,46726.81005206601,0,4935.558880298315
0x40dfe80662b31972857253cdbde94a05aec7066c,23980.210391351437,19053.40100283945,43033.611394190884
0x1f1129b35483f143f29786b672aaf91d34090ab8,0,42863.926158383976,42863.926158383976
0xfa15fb57abc78b729e174002b85d236560363760,0,42843.54679630565,42843.54679630565
0x833245bff77910c8edd56c98cf2be8e1d9df355d,0,42842.92552266864,42842.92552266864
0x260984c95009c7234a7064bc15216c3647618357,0,42842.725496317966,42842.725496317966
0x5aff6de262612b85ac02a1f0a9cd9fab9aac230a,0,42842.328596561805,42842.328596561805
0x2a1c0c32cb5397af8c28eed3af7fee8eda1f74f8,0,42833.80025022742,42833.80025022742
