Address,S2 waifu_reward_tokens,S2 llama_reward_tokens,S2 Total Base Tokens
0x223759397ed62960222af946af833993220835d9,1096432.037699167,555096.1939193791,1651528.231618546
0xd514e45723e4534aecd3050f4e3380d14796912d,175147.49578922227,200428.59917015114,375576.0949593734
0xa2306b8299d27d0fb918ad5b501dff62330aa091,248016.01524471576,1921.3991399614745,249937.41438467722
0x4d206c6253d55ba92faa73685ebc99af848c347e,82712.1902720576,105243.39245389024,187955.58272594784
0x11c237293a921302fbc3919db5ddbb1da4eab5df,44047.8904873484,122051.75378057074,166099.64426791912
0x49e75f26a6c175a84448dd9ae889d8268d62a5ba,0,161950.1178265164,161950.1178265164
0xf6bae253ba6f9f55d8df442e469cc7c9bfdb832b,145016.5374696676,0,145016.5374696676
0xa679608d3ead10fe8c13d93fd15dd9d99171136d,0,133261.35862269657,133261.35862269657
0x5b0d98912228d3b00dfd9afe84a03821a8f91882,63469.884304405095,62681.66572949261,126151.55003389771
0x33e8880d7d70d81b4ff47c29b2e4d7031b47ab93,23182.813423313582,83784.99668465178,106967.81010796536
0xfd1458a0cf4264839224a592db9eafec86ea4231,45215.27322125991,32503.27943895309,77718.552660213
0x9452dcf6f2cec7f0012b3492d2c323195f249b1b,65471.339135949594,2599.5876655119177,68070.92680146151
0x28886d272bc6b834d066a62bd686bb3fd4470420,23438.64965449618,42631.70756264578,66070.35721714197
0x550fb77d74ab1cc9e4250b7b951ea76208fc8538,46805.58137097526,8096.012401852735,54901.593772828
0x672d6b86450bbdc59593794b1a7f0b8ee74af106,18259.069728713574,31641.052132337103,49900.12186105068
0xd7cdb08eadd3d730540817a348b62d15bf45df10,14867.172134773327,34948.77203438401,49815.94416915734
0xf6839d3b0dcefdcd4bd96c9009a4afe5d72ceb55,46964.174055642936,160.15763888000566,47124.33169452294
0x29bdf4f7bbbc75b6d8bf18b37e3bffdb98469d20,46726.81005206601,0,46726.81005206601
0x40dfe80662b31972857253cdbde94a05aec7066c,23980.210391351437,19053.40100283945,43033.611394190884
0x1f1129b35483f143f29786b672aaf91d34090ab8,0,42863.926158383976,42863.926158383976
0xfa15fb57abc78b729e174002b85d236560363760,0,42843.54679630565,42843.54679630565
0x833245bff77910c8edd56c98cf2be8e1d9df355d,0,42842.92552266864,42842.92552266864
0x260984c95009c7234a7064bc15216c3647618357,0,42842.725496317966,42842.725496317966
0x5aff6de262612b85ac02a1f0a9cd9fab9aac230a,0,42842.328596561805,42842.328596561805
0x2a1c0c32cb5397af8c28eed3af7fee8eda1f74f8,0,42833.80025022742,42833.80025022742
0x5db3c942c2e9d9d857cb76b1124f33a3d6d0e39f,4964.083252149198,35159.82332679855,40123.906578947746
0x23da5c501dc99f7b2d883a2c016d3d5ee0e00e8a,0,39406.36810211851,39406.36810211851
0xaf3e910b999f58824828f0ca57a654ca645fa1f1,6550.355421343062,29285.28245849699,35835.637879840055
0x9b9f6a99821feae220d8b6eb9f35d9d9237e9c93,35608.71771014754,0,35608.71771014754
0xb346ef1de50becad8ee1de2651957d99513f3f7a,33069.0474891225,3.4827079355167045,33072.53019705802
0x48df10fe4fe7983f812be9d8fe3cc3e782533fd4,0,32015.98742051037,32015.98742051037
0x477920e54ec060ca75c4274d789f9e4cbfc8d487,30810.380615410006,0,30810.380615410006
0xb0693d2de1ebb6afba73200c6716b37e0b73839c,5889.648795296598,23659.30754987538,29548.956345171977
0xb99fd4ef41dc30733b9a3b26a40b5714a56b41f0,0,29490.758015198746,29490.758015198746
0xafe5364bc118934c04804fc888ff45845c2edbf9,10185.257203217176,19158.99434916896,29344.251552386137
